event_id_cnty,day,month,year,event_date,fatalities,disorder_type,event_type,sub_event_type,actor1,inter1,actor2,inter2,interaction,civilian_targeting,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,time_precision
NIR30857,15,May,2024,15-05-2024,0,Strategic developments,Strategic developments,Looting/property destruction,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Civilians (Niger),7,27,,Western Africa,Niger,Diffa,Maine Soroa,Maine Soroa,Maine Soroa,13.2114,12.0241,2,Twitter,New media,"Looting: On 15 May 2024, likely Boko Haram militants attacked 2 vehicles belonging to the Regional Directorate of Public Health (DRSP) before stealing one of them along the Diffa - Maine Soroa road, location coded to Maine Soroa (Maine Soroa, Diffa). There were injuries among the passengers.",1
NIR30856,14,May,2024,14-05-2024,0,Demonstrations,Protests,Peaceful protest,Protesters (Niger),6,,0,60,,Western Africa,Niger,Dosso,Gaya,Gaya,Gaya,11.8847,3.4598,1,Radio Television du Niger (RTN),Other,"On 14 May 2024, a large number of residents participated in a demonstration organized by the National Movement for the Safeguarding of the Homeland (MNSP) in Gaya (Gaya, Dosso). The protesters marched to show their support to the National Council for the Protection of the Fatherland (CNSP)",1
NIR30854,13,May,2024,13-05-2024,3,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Niger),3,Civilians (Niger),7,37,Civilian targeting,Western Africa,Niger,Maradi,Madarounfa,Dan-Issa,Karre I,13.1259,7.2776,1,Twitter,New media,"On 13 May 2024, an unidentified armed group attacked breeders in their camp in Karre I (Madarounfa, Maradi). The attack caused deaths and injuries among the civilians. Unspecified number of civilians fatalities coded as 3.",1
NIR30855,13,May,2024,13-05-2024,6,Political violence,Violence against civilians,Attack,Islamic State (Sahel),2,Civilians (Niger),7,27,Civilian targeting,Western Africa,Niger,Tillaberi,Tera,Kokorou,Boungou,14.3056,0.7994,1,Twitter,New media,"On 13 May 2024, likely IS Sahel militants attacked the village of Boungou (Tera, Tillaberi). There were at least 6 villagers killed.",1
NIR30853,11,May,2024,11-05-2024,1,Political violence,Violence against civilians,Attack,Islamic State (West Africa),2,Civilians (Niger),7,27,Civilian targeting,Western Africa,Niger,Diffa,Diffa,Gueskerou,Assaga Koura,13.3136,12.7084,2,Twitter,New media,"Around 11 May 2024, ISWAP militants killed a civilian accused of being an informant of the FDS near Assaga Koura (Diffa, Diffa).",2
NIR30850,9,May,2024,09-05-2024,1,Political violence,Violence against civilians,Attack,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Civilians (Niger),7,27,Civilian targeting,Western Africa,Niger,Diffa,Bosso,Bosso,Bouloutoungour I,13.7687,13.3512,1,Undisclosed Source,Local partner-Other,"On 9 May 2024, Boko Haram (JAS) militants killed a civilian by beating him with sticks in the village of Bouloutoungour I (Bosso, Diffa). The victim was found in possession of a large quantity of narcotics.",1
NIR30851,9,May,2024,09-05-2024,0,Strategic developments,Strategic developments,Looting/property destruction,Islamic State (Sahel),2,Civilians (Niger),7,27,,Western Africa,Niger,Tillaberi,Tera,Kokorou,Foneko,14.2058,0.7438,1,Undisclosed Source,Local partner-Other,"Looting: On 9 May 2024, IS Sahel militants intercepted 5 vehicles carrying fairground workers before stealing their money and mobile phones in Foneko Tedjo [Foneko] (Tera, Tillaberi).",1
NIR30852,9,May,2024,09-05-2024,0,Strategic developments,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,2,Civilians (Niger),7,27,,Western Africa,Niger,Tillaberi,Torodi,Makalondi,Hanlondi,12.7575,1.7516,1,Undisclosed Source,Local partner-Other,"Looting: On 9 May 2024, JNIM militants extorted livestock belonging to local residents as tax in Hanlondi (Torodi, Tillaberi).",1
NIR30848,8,May,2024,08-05-2024,0,Strategic developments,Strategic developments,Looting/property destruction,Unidentified Armed Group (Niger),3,Civilians (Niger),7,37,,Western Africa,Niger,Tillaberi,Balleyara,Tagazar,Balleyara,13.7838,2.9523,1,Undisclosed Source,Local partner-Other,"Looting: On 8 May 2024, an unidentified armed group stole money from a money transfer agency in Balleyara (Balleyara, Tillaberi) after carrying out intimidation shooting. Alerted, the FDS initiated an unsuccessful pursuit",1
NIR30849,8,May,2024,08-05-2024,1,Political violence,Violence against civilians,Attack,Islamic State (Sahel),2,Civilians (Niger),7,27,Civilian targeting,Western Africa,Niger,Tillaberi,Ouallam,Tondikiwindi,Bari Touri,14.6393,1.8234,1,Undisclosed Source,Local partner-Other,"On 8 May 2024, IS Sahel militants killed a civilian for an unknown reason after an incursion in the village of Bari Touri (Ouallam, Tillaberi). Alerted, the FDS initiated an unsuccessful pursuit.",1
NIR30838,7,May,2024,07-05-2024,0,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Islamic State (West Africa),2,Military Forces of Niger (2023-),1,12,,Western Africa,Niger,Diffa,Diffa,Chetimari,Chetimari,13.1853,12.4239,2,Twitter,New media,"On 7 May 2024, ISWAP claimed to have detonated an IED against a Nigerien army patrol that advanced towards ISWAP militant positions near the town of Chetimari (Diffa, Diffa). An armored vehicle was damaged and at least one soldier wounded, the statement claimed.",1
NIR30847,7,May,2024,07-05-2024,0,Strategic developments,Strategic developments,Looting/property destruction,Islamic State (Sahel),2,Civilians (Niger),7,27,,Western Africa,Niger,Tillaberi,Abala,Sanam,Kassari,14.9852,3.9157,1,Undisclosed Source,Local partner-Other,"Looting: On 7 May 2024, IS Sahel militants intercepted a vehicle carrying fairground workers before stealing their money and mobile phones in the village of Kassari (Abala, Tillaberi).",1
